geno
gp
gp
gp
gp
gp
gp
gp
gp
gp
gp
gp
gp
gp
wt
wt
wt
wt
wt
wt
wt
wt
gp
gp
gp
gp
gp
gp
gp
wt
wt
wt
wt
wt
wt
wt
wt
wt
wt
wt
wt
wt
wt
