@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
146.875,32.837915,556.185679,-439,-31250.6875,213.514759,-652.514769,0.860172,363032371420,534777.5,146.946121,29.321918,532.090317,-445.600818,-18782.112289,186.136409,-631.737229,0.858188,310128822320.75,471831.711609,146.146783,35.38732,406.200698,-457.269593,29097.582508,43.063905,-500.333487,0.847549,94202197214.8164,192369.671066,0.799338,139.682838,75.224596,239.655966,-322.609631,23763.277832,-69.297638,-253.31199,0.630492,2313526734.25,17657.038193,7.263282,6.463945,126.113185,82.84221,121.703636,-162.027231,5813.363998,-40.052413,-121.974815,-0.029851,86314373.625,3383.290417,20.832936,20.033598,13.569653,98.408074,33.001437,52.050811,-73.454512,1349.847157,-33.537145,-39.917367,-0.023668,121540.840485,24.607438,48.538046,47.738709,41.274764,27.705111,123.251526,132.321435,113.686198,1232.515274,5.851605,123.593305,'class 1'
148,21.023796,644.666565,-754,51596,48.518509,-802.518494,1.153411,205877837824,362132,148.036621,13.520138,633.257202,-745.314209,54516.203125,38.091259,-783.405457,1.15871,187439218688,337428.4375,146.06105,28.76989,530.944763,-652.715576,59892.34375,-21.015179,-631.700378,1.166916,79442477056,186468.21875,1.975571,137.012863,77.440918,260.889343,-355.207947,26829.789063,-80.512444,-274.695496,0.904756,2378800384,18853.529297,11.023758,9.048187,123.435234,84.137749,113.651703,-148.811417,4605.324707,-31.257483,-117.553932,0.068729,82457160,3723.538818,24.601387,22.625816,13.577629,97.389328,34.197174,50.130245,-70.633698,1237.997925,-31.008278,-39.62542,0.047049,185233.875,37.127571,50.647293,48.671722,39.623535,26.045906,121.53933,130.861115,110.833336,1215.393311,5.859231,122.631577,'class 1'
148.257813,67.504918,799.985521,-1037.359375,232962.6875,-177.580393,-859.778993,0.542274,474018472144,303405.21875,147.489481,64.234841,764.139885,-993.621236,211234.269165,-177.443068,-816.178158,0.523807,382913263616,270833.662231,142.248511,66.047367,552.628011,-723.021286,103985.152283,-134.352079,-588.669201,0.218437,92149960534,134275.104614,5.24097,131.951754,85.609213,234.529516,-314.002402,20086.525146,-58.7139,-255.288506,0.963963,2423021465.5,21261.466976,15.537727,10.296757,120.133841,83.988122,105.010911,-133.598269,3403.440563,-19.057681,-114.540588,0.190797,82536347.625,4576.193529,27.35564,22.11467,11.817913,96.066357,35.002918,47.731906,-66.733354,1094.95185,-26.414717,-40.318636,0.172602,433366.841309,106.329733,51.423124,46.182154,35.885397,24.067484,118.649215,127.999135,107.389974,1186.492158,6.488687,119.865388,'class 1'
147.777344,77.397419,901.378257,-1215.382813,361727.53125,-314.692941,-900.689899,0.522844,439113442264,222662.265625,146.982211,75.942739,852.9568,-1150.735252,319494.730164,-299.078693,-851.656543,0.504523,360087844864,201506.278259,140.9007,77.920075,581.00094,-775.414694,129261.227325,-175.36237,-600.05233,0.198872,92610788493,116455.484802,6.081511,129.69169,88.690821,230.376629,-303.389541,17159.67691,-44.233696,-259.155851,0.98736,2715412441.25,25711.742327,17.290521,11.20901,118.474426,84.074149,100.758118,-126.555062,2881.094248,-14.157942,-112.397121,0.24605,78928703.9375,4833.149199,28.507785,22.426274,11.217264,95.389365,35.448653,46.526607,-64.772275,1022.252942,-24.266966,-40.505309,0.215538,547606.928955,140.593877,51.592846,45.511335,34.302325,23.085061,117.255402,126.589846,105.74859,1172.554031,6.786293,118.537722,'class 1'
147.0625,79.170367,975.67255,-1349.875,467914.75,-426.842262,-923.03278,0.58363,329468721792,133138.75,146.414213,78.923989,918.53307,-1269.409847,407962.347656,-396.398375,-873.011452,0.56884,281734723584,127219.489258,140.135889,83.31553,603.472633,-815.029984,148175.950684,-202.114511,-612.915489,0.305947,87402344752,102153.868164,6.278324,128.245122,90.106871,228.962909,-297.090017,14927.861572,-32.18286,-264.907163,1.003479,2969430780,29810.335419,18.169091,11.890767,117.407031,84.093511,97.956002,-122.067661,2553.806267,-11.174881,-110.892779,0.288888,75767050,4972.001984,29.007182,22.728858,10.838091,94.952121,35.734455,45.747735,-63.49263,974.046284,-22.854487,-40.638143,0.245105,626563.785156,164.696019,51.462092,45.183768,33.293001,22.45491,116.330197,125.618058,104.631945,1163.301994,7.007152,117.664243,'class 1'
145.21875,87.421201,950.417908,-1283.0625,432993.25,-365.800419,-917.262121,0.713187,320840019184,164417.625,144.581731,86.738496,894.576024,-1207.279464,377044.505066,-338.244295,-869.035148,0.70037,274860130336,155018.418457,138.581931,88.295448,587.608278,-778.818298,135492.783051,-166.605839,-612.212478,0.495768,85874161856,113877.697021,5.9998,127.233909,90.709388,224.024077,-285.052493,13004.908588,-20.570229,-264.482269,1.016581,2956322879.75,32358.956497,17.347821,11.348022,116.744456,83.938988,96.834511,-119.760363,2314.516296,-8.450561,-111.309801,0.310033,78045819,5327.140213,27.837275,21.837475,10.489454,94.679423,35.883718,45.217034,-62.633133,941.357567,-21.918347,-40.714786,0.257636,684989.939453,183.180965,49.902308,43.902508,32.554486,22.065033,115.718502,125.035363,103.880209,1157.185043,7.129908,117.197777,'class 1'
142.273438,101.846756,916.310951,-1187.828125,377898.1875,-275.944896,-911.883266,0.993797,307293075628,213372.28125,141.635422,100.295974,862.714379,-1119.081892,328422.541061,-252.55084,-866.531029,0.982703,263990990632,198983.594849,136.034086,96.697372,568.837983,-729.249099,115750.449028,-112.487514,-616.761604,0.855665,83600264672,134733.111511,5.601336,125.442728,91.986721,219.998892,-269.831112,9936.774072,-1.067659,-268.763457,1.034474,2971483595.6875,37576.282993,16.192694,10.591358,115.440372,83.840115,94.515866,-115.342329,1904.082222,-4.031177,-111.31115,0.341677,78643185.75,5822.487949,26.19505,20.593715,10.002356,94.134896,36.213422,44.199646,-60.992734,879.89477,-20.235078,-40.757656,0.272341,780716.52002,215.473583,47.500526,41.89919,31.307832,21.305475,114.578972,123.93492,102.528213,1145.789745,7.315428,116.219878,'class 1'
141.203125,105.480478,879.474464,-1120.84375,340805.125,-234.209055,-886.634728,1.012836,286030949736,224388.4375,140.585075,103.488083,828.827602,-1057.926903,296567.341461,-214.917824,-843.009058,1.000134,245790773808,207860.497803,135.337699,97.43362,550.717673,-697.944262,105275.770279,-95.114923,-602.829358,0.867603,78217251040,136145.953735,5.247376,125.256901,91.419042,215.490913,-261.508309,8835.831327,3.601801,-265.110114,1.040579,2834631791.625,37916.897758,15.328174,10.080798,115.441751,83.617221,94.685737,-115.367177,1861.253662,-3.263652,-112.103524,0.353609,81063428.5,5997.331474,25.143324,19.895948,9.81515,94.137197,36.176941,44.171305,-60.932675,876.710209,-20.077756,-40.85492,0.282789,798872.491211,220.844785,46.447878,41.200501,31.119704,21.304554,114.481912,123.819126,102.353299,1144.819145,7.361275,116.179662,'class 1'
137.933594,119.052442,795.24633,-956.070313,244583.34375,-121.131387,-834.93895,1.205345,237125818318,263880.953125,137.342913,115.708652,751.663254,-907.458755,213599.364311,-111.527556,-795.931179,1.188858,204119112868,241550.902649,132.939677,102.259649,511.140956,-621.272851,76863.023266,-41.720623,-579.552245,1.060903,66322130736,148004.940399,4.403236,124.109063,90.917218,207.500644,-241.723085,5461.833365,20.909559,-262.632647,1.057396,2581240525.71875,41305.224298,13.23385,8.830614,114.80487,83.226022,93.836176,-113.324589,1606.562214,-0.055349,-113.269239,0.38808,84094184.375,6483.887598,22.538043,18.134807,9.304193,93.870234,36.283977,43.62924,-60.033201,841.627847,-19.018622,-41.014578,0.305866,872237.380127,245.452688,43.472679,39.069443,30.238829,20.934636,113.758858,123.06555,101.401259,1137.588598,7.514553,115.580698,'class 1'
130.226563,148.103156,580.742231,-548.585938,1067.609375,151.493665,-700.079606,1.460309,107996046208,374518.953125,129.751449,141.483579,555.133464,-535.385752,4157.721107,135.313595,-670.699334,1.433104,93133829088,334890.641663,127.462916,110.470701,410.333891,-432.396766,6800.270721,78.654154,-511.050927,1.260224,33480109784,176706.016968,2.288533,121.685052,89.432659,186.752391,-195.732304,-1931.534283,55.389536,-251.121843,1.08332,1814551811,47050.845291,8.066397,5.777864,113.534608,82.315411,92.23728,-109.344519,1164.486082,5.963262,-115.307781,0.455332,89258273.703125,7373.272505,16.216841,13.928309,8.150445,93.318174,36.42126,42.5893,-58.222418,774.893703,-16.927336,-41.295081,0.355347,1000559.584961,298.752017,36.433275,34.144742,28.366878,20.216434,112.221977,121.30032,99.363001,1122.219788,7.775618,114.250286,'class 1'
