,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,3,43,3,999.4347826086956,0.5139793341304347
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,2,0,407.0,0.394042625
0,Mar19bS2C1R1_LHl_200x_y.png,5,0,3,1817.2,0.580572126
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,0,0,1407.0,0.67721224
0,Mar23bS1C1R4_VLPAGl_200x_y.png,4,3,1,448.2857142857143,0.62511119
0,Mar23bS1C5R2_DMr_200x_y.png,12,1,1,666.6923076923077,0.61911245
0,Mar26bS2C1R1_LHr_200x_y.png,7,2,1,1265.111111111111,0.5590443666666666
0,Mar27bS1C2R2_LHr_200x_y.png,18,8,11,1449.6538461538462,0.5491821092307692
0,MAR38S1C3R1_DMR_20_o.png,21,105,39,1060.9126984126983,0.46729193182539686
0,MAR55S3C2R2_VLPAGR_20_o.png,10,91,11,758.2574257425742,0.5152357726732673
