,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0,precision_geno_ttest_pval,recall_geno_ttest_pval,F1_geno_ttest_pval
0,classifier,0.5142857142857142,0.2857142857142857,0.3673469387755102,0.225,5.6,0.04444444444444444,0.4936429608127721,0.0006029632049333046,0.00012179437731923446,0.0001417708517824801
0,classifier10,0.48,0.06417112299465241,0.11320754716981132,0.06,16.2,0.08663101604278076,0.6476923076923077,0.03965808039199357,0.00550464618079919,0.08587561238004619
0,classifier11,0.647887323943662,0.36507936507936506,0.46700507614213194,0.304635761589404,5.5,0.04365079365079365,0.4939180445722502,0.0014797800154485003,0.000180640489008211,0.0031452483214150263
0,classifier12,0.6304347826086957,0.23015873015873015,0.3372093023255814,0.20279720279720279,8.0,0.06349206349206349,0.5565103189493434,0.01014757377225775,0.0013830135798176535,0.031459075472355186
0,classifier13,0.0,0.0,,0.0,19.6,0.09607843137254903,,0.0,0.0,--
0,classifier14,0.4444444444444444,0.0427807486631016,0.07804878048780488,0.04060913705583756,16.9,0.09037433155080213,0.6754385964912281,0.02178842280574328,0.0006262388348359021,0.18380146492302468
0,classifier15,0.5,0.18253968253968253,0.26744186046511625,0.15436241610738255,8.0,0.06349206349206349,0.40060037523452163,0.0005588187533706627,2.912795151782877e-05,0.0004937505727046907
0,classifier16,0.0,0.0,,0.0,19.6,0.09607843137254903,,0.0,0.0,--
0,classifier17,0.3888888888888889,0.0374331550802139,0.06829268292682926,0.03535353535353535,16.9,0.09037433155080213,0.6403508771929824,0.014530966014031706,0.0005496293741313717,0.1856804246435688
0,classifier18,0.5675675675675675,0.16666666666666666,0.25766871165644173,0.14788732394366197,8.9,0.07063492063492063,0.4877766069546892,0.0023511927763854626,0.00020540517087200633,0.001944206051411258
0,classifier19,0.45,0.0481283422459893,0.08695652173913042,0.045454545454545456,16.7,0.0893048128342246,0.6904761904761904,0.017695891884013555,0.0007354932435789973,0.18590842158930557
0,classifier2,0.6923076923076923,0.35714285714285715,0.4712041884816754,0.3082191780821918,6.1,0.048412698412698414,0.5504442751967504,0.0016314464837796246,6.136488751931937e-05,0.03823083770922683
0,classifier20,0.4375,0.0374331550802139,0.06896551724137931,0.03571428571428571,17.1,0.09144385026737968,0.7843137254901961,0.04824945306958006,0.0027618198393267773,0.42264973081037427
0,classifier21,0.5,0.14285714285714285,0.22222222222222224,0.125,9.0,0.07142857142857142,0.40897435897435896,0.000997518057491106,0.00010101754104950831,0.025020536555059678
0,classifier22,0.72,0.2857142857142857,0.409090909090909,0.2571428571428571,7.6,0.06031746031746031,0.5762671437090042,0.014880943747625039,0.002263606025420691,0.012938805657516329
0,classifier23,,0.0,,0.0,10.6,0.1,,--,0.0,--
0,classifier24,0.0,0.0,,0.0,19.6,0.09607843137254903,,0.0,0.0,--
0,classifier25,,0.0,,0.0,10.6,0.1,,--,0.0,--
0,classifier3,0.7971014492753623,0.4365079365079365,0.5641025641025641,0.39285714285714285,5.7,0.04523809523809524,0.7016117216117216,0.023066174140672063,0.004668241271275621,0.05437698268035461
0,classifier4,0.6666666666666666,0.1746031746031746,0.27672955974842767,0.16058394160583941,9.3,0.07380952380952381,0.5593979933110369,0.017858157079936002,0.0029380419227457164,0.0648245994798174
0,classifier5,0.48484848484848486,0.12698412698412698,0.2012578616352201,0.11188811188811189,9.3,0.07380952380952381,0.5650780379041249,0.006699217118531784,0.0010718146401919007,0.0901683440449595
0,classifier6,0.6721311475409836,0.3253968253968254,0.4385026737967914,0.2808219178082192,6.5,0.05158730158730159,0.6380650277557494,0.010107892773225486,0.002802567374683641,0.005721975818262291
0,classifier7,0.42857142857142855,0.0481283422459893,0.08653846153846152,0.04522613065326633,16.6,0.08877005347593583,0.6818181818181818,0.014530966014031706,0.0007354932435789973,0.18442758075035173
0,classifier8,0.7307692307692307,0.30158730158730157,0.42696629213483145,0.2714285714285714,7.4,0.05873015873015873,0.6846853146853148,0.020792068784500815,0.003949226508316428,0.036979988932910796
0,classifier9,0.4166666666666667,0.025,0.04716981132075472,0.024154589371980676,18.8,0.094,1.0,0.1778078083562214,0.01120143255409014,--
