,class,precision,recall,F1,accuracy,MAE,MPE,F1_geno_ttest_pval,mean_F1_ev0,mean_F1_ev1,precision_geno_ttest_pval,recall_geno_ttest_pval
0,classifier1,0.6857142857142857,0.21621621621621623,0.32876712328767127,0.19672131147540983,7.6,0.06846846846846846,,,,,
0,classifier10,0.6666666666666666,0.5094339622641509,0.5775401069518716,0.40601503759398494,2.5,0.02358490566037736,,,,,
0,classifier1000,0.6470588235294118,0.09482758620689655,0.16541353383458646,0.09016393442622951,9.9,0.0853448275862069,,,,,
0,classifier11,0.7047619047619048,0.6981132075471698,0.7014218009478673,0.5401459854014599,0.1,0.0009433962264150943,,,,,
0,classifier13,0.6818181818181818,0.7075471698113207,0.6944444444444443,0.5319148936170213,-0.4,-0.0037735849056603774,,,,,
0,classifier14lap,0.7816091954022989,0.6415094339622641,0.7046632124352331,0.544,1.9,0.017924528301886792,,,,,
0,classifier15,0.7954545454545454,0.660377358490566,0.7216494845360825,0.5645161290322581,1.8,0.016981132075471698,,,,,
0,classifier16,0.7159090909090909,0.5943396226415094,0.6494845360824741,0.48091603053435117,1.8,0.016981132075471698,,,,,
0,classifier17,0.7763157894736842,0.5566037735849056,0.6483516483516483,0.4796747967479675,3.0,0.02830188679245283,,,,,
0,classifier18,0.7096774193548387,0.4036697247706422,0.5146198830409358,0.3464566929133858,4.7,0.043119266055045874,,,,,
0,classifier19,0.6451612903225806,0.5660377358490566,0.6030150753768844,0.4316546762589928,1.3,0.012264150943396227,,,,,
0,classifier2,0.75,0.33962264150943394,0.4675324675324676,0.3050847457627119,5.8,0.05471698113207547,,,,,
0,classifier20,0.6326530612244898,0.5849056603773585,0.6078431372549019,0.43661971830985913,0.8,0.007547169811320755,,,,,
0,classifier2000,0.06666666666666667,0.05660377358490566,0.061224489795918366,0.031578947368421054,1.6,0.01509433962264151,,,,,
0,classifier2001,0.8484848484848485,0.509090909090909,0.6363636363636364,0.4666666666666667,4.4,0.04,,,,,
0,classifier2002,0.5522388059701493,0.34579439252336447,0.4252873563218391,0.27007299270072993,4.0,0.037383177570093455,,,,,
0,classifier21,0.6428571428571429,0.5943396226415094,0.6176470588235294,0.44680851063829785,0.8,0.007547169811320755,,,,,
0,classifier22,0.6956521739130435,0.6037735849056604,0.6464646464646465,0.47761194029850745,1.4,0.013207547169811321,,,,,
0,classifier23,0.6962025316455697,0.5092592592592593,0.5882352941176472,0.4166666666666667,2.9,0.026851851851851856,,,,,
0,classifier24,0.6442307692307693,0.6320754716981132,0.638095238095238,0.46853146853146854,0.2,0.0018867924528301887,,,,,
0,classifier25,0.6095238095238096,0.6037735849056604,0.6066350710900474,0.43537414965986393,0.1,0.0009433962264150943,,,,,
0,classifier4,0.5833333333333334,0.06306306306306306,0.1138211382113821,0.0603448275862069,9.9,0.0891891891891892,,,,,
0,classifier7,0.7763157894736842,0.5363636363636364,0.6344086021505375,0.4645669291338583,3.4,0.030909090909090907,,,,,
0,classifier9,0.5670103092783505,0.5188679245283019,0.541871921182266,0.3716216216216216,0.9,0.008490566037735849,,,,,
