,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0,precision_geno_ttest_pval,recall_geno_ttest_pval,F1_geno_ttest_pval
0,classifier,0.06649616368286446,0.17218543046357615,0.0959409594095941,0.050387596899224806,-24.0,-0.15894039735099336,0.34882078705608116,0.00010326103544621393,0.0001916674689517139,0.00011575936799830078
0,classifier10,0.15891472868217055,0.271523178807947,0.20048899755501223,0.11141304347826086,-10.7,-0.07086092715231787,0.30424379214545666,0.001496483099554791,7.461539923704086e-05,0.0002629286883244921
0,classifier11,0.16806722689075632,0.3973509933774834,0.23622047244094488,0.13392857142857142,-20.6,-0.13642384105960265,0.3571031500775849,0.0002161847787577292,0.00021470900177874026,3.980160344067364e-05
0,classifier12,0.21712538226299694,0.47019867549668876,0.2970711297071129,0.17444717444717445,-17.6,-0.11655629139072847,0.4444914935671238,0.0012855301761758927,0.0004262736302251895,0.0010039329396726766
0,classifier13,0.1308411214953271,0.09271523178807947,0.10852713178294573,0.05737704918032787,4.4,0.029139072847682117,0.1621311561601211,0.0004782381657894717,9.365365885871177e-10,1.3100597884419092e-06
0,classifier14,0.35333333333333333,0.3509933774834437,0.35215946843853824,0.21370967741935484,0.1,0.0006622516556291391,0.27005823520904265,4.4391870198314064e-05,1.5623228885135767e-06,2.4110787109324703e-05
0,classifier15,0.2056338028169014,0.48344370860927155,0.2885375494071146,0.16859122401847576,-20.4,-0.13509933774834437,0.41051314258057825,9.653189244607764e-05,0.0004755883682015259,2.212858740803921e-05
0,classifier16,0.22297297297297297,0.2185430463576159,0.22073578595317728,0.12406015037593984,0.3,0.001986754966887417,0.3034513202396414,0.0002999297545339174,6.178545511766613e-05,0.00028046988944342233
0,classifier17,0.4090909090909091,0.41721854304635764,0.41311475409836074,0.2603305785123967,-0.3,-0.001986754966887417,0.310171326155381,0.0004188971730787432,9.437776859816654e-06,6.785639220337492e-05
0,classifier18,0.29554655870445345,0.48344370860927155,0.3668341708542714,0.2246153846153846,-9.6,-0.06357615894039735,0.39997003970332434,0.00037705553444587384,0.0007904570062823375,0.003011988510333339
0,classifier19,0.2955665024630542,0.3973509933774834,0.33898305084745767,0.20408163265306123,-5.2,-0.03443708609271523,0.37966831828391073,0.0004843439976993861,0.00029464475482482156,0.001963072753909465
0,classifier2,0.2788844621513944,0.46357615894039733,0.34825870646766166,0.21084337349397592,-10.0,-0.06622516556291391,0.45032138836762886,0.0033473102703703763,0.0005332212558641563,0.0036520912470417726
0,classifier20,0.2916666666666667,0.3708609271523179,0.326530612244898,0.1951219512195122,-4.1,-0.027152317880794703,0.24002960184110736,0.00024303300320575308,3.0055238941268135e-06,8.347367224639293e-05
0,classifier200,0.7142857142857143,0.13245033112582782,0.223463687150838,0.12578616352201258,12.3,0.08145695364238412,0.3051537070524412,0.04876290283638871,3.762309678261357e-09,0.003086912834081887
0,classifier201,0.03529411764705882,0.17880794701986755,0.058951965065502175,0.030371203599550055,-61.4,-0.4066225165562914,0.4475984232879224,5.465145437913336e-05,0.0008053524123921137,0.0004933014302914722
0,classifier202,0.1276595744680851,0.15894039735099338,0.1415929203539823,0.0761904761904762,-3.7,-0.024503311258278145,0.43183860164992244,0.015273770561616992,0.0001129413089039498,0.011086176074448947
0,classifier21,0.4090909090909091,0.41721854304635764,0.41311475409836074,0.2603305785123967,-0.3,-0.001986754966887417,0.3846359869990375,0.0019935771615122457,0.0004106451707408544,0.00311057098769605
0,classifier22,0.41358024691358025,0.44370860927152317,0.4281150159744409,0.27235772357723576,-1.1,-0.007284768211920529,0.39671426678280874,0.003820619258906412,0.000395047001175718,0.0009770826027432368
0,classifier23,0.08333333333333333,0.006622516556291391,0.012269938650306749,0.006172839506172839,13.9,0.09205298013245033,0.03278688524590164,0.004104715980053322,1.572044549524335e-19,--
0,classifier24,0.24074074074074073,0.08609271523178808,0.12682926829268293,0.06770833333333333,9.7,0.06423841059602649,0.2942460051968442,0.003146742514657462,5.021835365758765e-05,0.004193368012583045
0,classifier25,0.08888888888888889,0.026490066225165563,0.04081632653061224,0.020833333333333332,10.6,0.07019867549668875,0.13184931506849315,0.0026273547899410598,2.3786896192693043e-11,0.0005999026927081402
0,classifier3,0.27309236947791166,0.4503311258278146,0.34,0.20481927710843373,-9.8,-0.06490066225165562,0.42409681420459994,0.0008443589722388147,0.00031865166915845167,0.0008051032905899894
0,classifier4,0.3584070796460177,0.5364238410596026,0.4297082228116711,0.27364864864864863,-7.5,-0.04966887417218543,0.42243934327449045,0.0002910779724596826,0.0009226759979433309,0.0010482783861731249
0,classifier5,0.3004484304932735,0.44370860927152317,0.3582887700534759,0.2182410423452769,-7.2,-0.04768211920529801,0.3827970728450159,0.008722451104896254,0.0003223754783986447,0.0006288048561863694
0,classifier6,0.2569444444444444,0.4900662251655629,0.33712984054669703,0.20273972602739726,-13.7,-0.09072847682119205,0.40395065412974596,0.003595629560120087,0.00047735966720012556,0.0004991839078998766
0,classifier7,0.15566037735849056,0.2185430463576159,0.18181818181818182,0.1,-6.1,-0.04039735099337748,0.3174398749398749,0.0019019708810908151,7.275182950768293e-05,0.0003940189598071251
0,classifier8,0.2931726907630522,0.48344370860927155,0.36500000000000005,0.22324159021406728,-9.8,-0.06490066225165562,0.4030922536582914,0.0031300141059919804,0.0005044689026024924,0.0006712178290843085
0,classifier9,0.16203703703703703,0.23178807947019867,0.19073569482288827,0.10542168674698796,-6.5,-0.04304635761589404,0.3041194656298756,0.001329632716000195,6.575614002848029e-05,0.0003133268735710225
