,class,prec,reca,F1,F1_g_tt_p,mean_F1_gp,mean_F1_wt,p_g_tt_p,r_g_tt_p
0,classifier15,0.8588652482269503,0.9167297501892505,0.8868546320029294,0.4764227248319599,0.8759651907636581,0.8972958524413954,0.038987521357227585,0.11645860987747755
0,classifier16,0.8613505747126436,0.9076457229371688,0.8838923700700332,0.5482401542936066,0.872597828264604,0.8945004407036663,0.08185789360617907,0.12862677402863765
0,classifier17,0.8861236802413273,0.8894776684330054,0.887797506611258,0.8782902016288268,0.8842006946275491,0.8889394103140889,0.14212104835126246,0.16083553050360325
0,classifier18,0.8866213151927438,0.8879636638909917,0.8872919818456884,0.8350890185522266,0.8823531399405937,0.8896804716808662,0.1227907472945818,0.19556286499016062
0,classifier19,0.8771155261221486,0.9023467070401211,0.8895522388059701,0.7456504358698931,0.8829669326022689,0.8935772038020268,0.07093738133720519,0.17196197428778207
0,classifier2,0.390470297029703,0.9553368660105981,0.5543597627937623,0.0015365362579185778,0.47349218996960296,0.7021581970701123,0.007095084203236879,0.7395512163402223
0,classifier20,0.8711078928312816,0.9106737320211961,0.8904515173945224,0.6526802672512312,0.8830032709851382,0.8964255461876285,0.068268478746618,0.10842496507933393
0,classifier21,0.8700361010830325,0.9121877365632097,0.8906134515890614,0.4749563906294487,0.8794283991307836,0.9009096599831918,0.057709116743781125,0.09962952123805908
0,classifier22,0.8859259259259259,0.9053747161241483,0.8955447397978286,0.9106057025986198,0.8956974165165233,0.8925073117017419,0.1425222152701819,0.07455993488421632
0,classifier23,0.8808290155440415,0.9008327024981075,0.8907185628742516,0.921013566964056,0.8876828351960467,0.890587733606061,0.08735851671866476,0.0961638665666848
0,classifier24,0.8746355685131195,0.9084027252081757,0.8911994058670628,0.8635320246639402,0.887977171949545,0.89314640252486,0.11883870980066082,0.09343068645695289
0,classifier25,0.8642241379310345,0.9106737320211961,0.8868411352746038,0.6241140136705865,0.87877764113622,0.894122145803571,0.06011464498363464,0.10373189018368387
0,classifier26,0.8827433628318584,0.9061317183951552,0.8942846469929024,0.8387414213406299,0.8898876183660074,0.8959224208474442,0.08973967199988243,0.08301156008451417
0,classifier27,0.8727272727272727,0.9084027252081757,0.8902077151335311,0.7910338111366041,0.8857323335488928,0.8930472519565853,0.05377817432663407,0.06459970841640288
0,classifier28,0.880410858400587,0.9084027252081757,0.8941877794336811,0.8698133031627284,0.8905147449759362,0.8957519306006014,0.08922890785262094,0.07609713528820529
