Label,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
Mar27bS1C2R2_LHr_200x_y.png,6,4469,744.8333333,0.23276042,255,255,161.7089933,40.86890316,23.26363405,101.3852679,0.4112616,0.78091233,47.63329506,759.3333333,528.5,101.224035,28.18034363,189932.5,255,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,29,20891,720.3793103,1.08807292,255,255,165.3462585,39.72360157,23.30526063,74.61163238,0.38127613,0.78640584,43.87292257,1057.37931,541.3103448,74.77535327,27.68086427,183696.7241,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,10,7525,752.5,0.39192708,255,255,177.5821663,37.43651733,25.67118454,104.5979678,0.33004338,0.74531595,43.26102524,1145.9,786.5,104.0861664,31.15752106,191887.5,255,NaN,NaN
37_y.png,2,1174,587,0.06114583,255,255,167.5010452,39.55699539,19.4317522,161.8184662,0.27099539,0.7378059,44.86461067,583,903,152.8759766,24.50715828,149685,255,NaN,NaN
Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar19bS2C1R1_LHl_200x_y.png,1,869,869,0.04526042,255,255,168.6518097,40.50465012,27.3164978,93.66611481,0.38392612,0.73612875,45.5411911,1496,399,70.76932526,32.55757904,221595,255,NaN,NaN
Mar20bS1C1R3_VLPAGl_200x_y.png,1,569,569,0.02963542,255,255,125.0954514,36.44482422,19.8786335,50.19852448,0.45691884,0.81402004,39.6988678,1000,947,40.91438293,23.89721489,145095,255,NaN,NaN
Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar23bS1C5R2_DMr_200x_y.png,1,657,657,0.03421875,255,255,164.8944397,33.68841934,24.83103752,48.63623047,0.30364293,0.65864664,40.79215622,973,693,11.30993271,32.93312454,167535,255,NaN,NaN
Mar26bS2C1R1_LHr_200x_y.png,2,1490,745,0.07760417,255,255,176.5010529,41.36859131,22.72971058,113.2701607,0.29692753,0.70968044,48.86976242,1045,827,109.7263489,28.26561642,189975,255,NaN,NaN
Mar27bS1C2R2_LHr_200x_y.png,8,5976,747,0.31125,255,255,163.0356875,44.13650417,21.89268947,97.85562116,0.40385646,0.78097497,49.79055357,814.375,446.125,95.95602047,26.31753159,190485,255,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,31,21360,689.0322581,1.1125,255,255,155.8373625,39.82019314,22.09543982,89.891291,0.39808856,0.78691972,44.13753799,1103.83871,508.5806452,86.17245779,26.35071625,175703.2258,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,9,6969,774.3333333,0.36296875,255,255,166.4973806,39.92220391,24.69237645,111.6889282,0.37576891,0.75209368,45.23799939,1222.666667,763.6666667,106.4198998,30.57784017,197455,255,NaN,NaN
