,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0,precision_geno_ttest_pval,recall_geno_ttest_pval,F1_geno_ttest_pval
0,classifier,0.3017241379310345,0.23178807947019867,0.2621722846441948,0.15086206896551724,3.5,0.023178807947019868,0.5153196010338867,0.04578735060280538,0.0002761745626038072,0.0059073025970001174
0,classifier10,0.527027027027027,0.2582781456953642,0.3466666666666666,0.20967741935483872,7.7,0.050993377483443715,0.3903669140420396,0.054630119509410976,8.126517805952928e-05,0.00041812156542247005
0,classifier11,0.584,0.48344370860927155,0.5289855072463767,0.35960591133004927,2.6,0.017218543046357615,0.48124629858623763,0.04604365461789268,0.00044808012676102307,0.001871932905284091
0,classifier12,0.7128712871287128,0.4768211920529801,0.5714285714285714,0.4,5.0,0.033112582781456956,0.48448331193838257,0.04403402082556406,0.0005082587882827221,0.0018898527585153274
0,classifier13,0.7692307692307693,0.06622516556291391,0.12195121951219512,0.06493506493506493,13.8,0.0913907284768212,0.19163571704555313,0.12054370589939807,1.5870592237461252e-10,3.134679578175979e-06
0,classifier14,0.7407407407407407,0.26490066225165565,0.3902439024390244,0.24242424242424243,9.7,0.06423841059602649,0.3087598993085606,0.04376108712077565,2.2484895377378185e-07,4.407781042780055e-05
0,classifier15,0.5982142857142857,0.44370860927152317,0.5095057034220533,0.34183673469387754,3.9,0.025827814569536423,0.46325698353137373,0.03331212978504463,0.0003402505845100192,0.001438958123494834
0,classifier16,0.6388888888888888,0.152317880794702,0.2459893048128342,0.1402439024390244,11.5,0.076158940397351,0.32684003088414854,0.04437328408350575,4.9904422370385515e-05,0.00022707767577009747
0,classifier17,0.6805555555555556,0.32450331125827814,0.4394618834080718,0.28160919540229884,7.9,0.05231788079470199,0.3399917542774685,0.023173735601342497,8.264584729113297e-07,7.111144183868336e-05
0,classifier18,0.7252747252747253,0.4370860927152318,0.5454545454545454,0.375,6.0,0.03973509933774834,0.4861519972768142,0.0549008745171397,0.00040474273406237564,0.006029453444553363
0,classifier19,0.6829268292682927,0.3708609271523179,0.48068669527896996,0.3163841807909605,6.9,0.0456953642384106,0.41784216831386645,0.03059877986160666,0.00020964848080766888,0.0010660760219062633
0,classifier2,0.675,0.5364238410596026,0.5977859778597785,0.4263157894736842,3.1,0.02052980132450331,0.5587314369923065,0.029686949324732845,0.0013508177225957305,0.016038434527614772
0,classifier20,0.6933333333333334,0.3443708609271523,0.46017699115044247,0.2988505747126437,7.6,0.05033112582781457,0.30433567630333125,0.0495936310813364,1.0648510849243232e-06,7.022286758268212e-05
0,classifier200,0.9090909090909091,0.06622516556291391,0.1234567901234568,0.06578947368421052,14.0,0.09271523178807947,0.23584415584415583,0.4226497308103741,1.4548540611418283e-10,0.0015442802257171879
0,classifier201,0.13440860215053763,0.16556291390728478,0.1483679525222552,0.08012820512820513,-3.5,-0.023178807947019868,0.4483060483060482,0.058431365339274004,0.00017251206246317883,0.00533385673174002
0,classifier202,0.4492753623188406,0.2052980132450331,0.28181818181818186,0.164021164021164,8.2,0.054304635761589407,0.43862589023879345,0.02871278183627047,8.272647956926277e-05,0.0015070779731695318
0,classifier21,0.75,0.3973509933774834,0.5194805194805194,0.3508771929824561,7.1,0.04701986754966887,0.4426115851136849,0.09940957681021825,0.00034108822408481285,0.004709828809155687
0,classifier22,0.7865168539325843,0.46357615894039733,0.5833333333333333,0.4117647058823529,6.2,0.04105960264900662,0.4682217932217932,0.06830715376348138,0.0006110391130703483,0.0029694805569375035
0,classifier23,0.0,0.0,,0.0,14.8,0.09801324503311258,,0.0,0.0,--
0,classifier24,0.7272727272727273,0.052980132450331126,0.09876543209876543,0.05194805194805195,14.0,0.09271523178807947,0.3568605307735742,0.12195242138388807,4.9683827571554964e-05,0.016733437229563997
0,classifier25,0.2727272727272727,0.019867549668874173,0.03703703703703704,0.018867924528301886,14.0,0.09271523178807947,0.17184265010351965,0.011695963639272928,2.6598228020672186e-11,0.005067469217393036
0,classifier3,0.6666666666666666,0.5165562913907285,0.582089552238806,0.4105263157894737,3.4,0.02251655629139073,0.4944621517562021,0.0571722224245499,0.0007904787338793108,0.0036921932316998484
0,classifier4,0.872093023255814,0.4966887417218543,0.6329113924050633,0.46296296296296297,6.5,0.04304635761589404,0.5256998051162628,0.07989280710457546,0.0006900076979807578,0.003736069579285857
0,classifier5,0.6931818181818182,0.40397350993377484,0.5104602510460251,0.34269662921348315,6.3,0.041721854304635764,0.44524085521786083,0.061104282324960284,0.00021987705758256965,0.0013030175434606518
0,classifier6,0.7403846153846154,0.5099337748344371,0.6039215686274509,0.43258426966292135,4.7,0.031125827814569535,0.47928986218459907,0.07298755811770839,0.0008036880071936122,0.003557927616109118
0,classifier7,0.6511627906976745,0.18543046357615894,0.28865979381443296,0.1686746987951807,10.8,0.07152317880794702,0.37082491974733356,0.02534008231523605,6.43209419985659e-05,0.0003550381930312805
0,classifier8,0.8352941176470589,0.47019867549668876,0.6016949152542372,0.4303030303030303,6.6,0.04370860927152318,0.48704098835677784,0.08982597491452225,0.000554691077061425,0.002941914038938847
0,classifier9,0.5714285714285714,0.2119205298013245,0.3091787439613527,0.18285714285714286,9.5,0.06291390728476821,0.3906683449377946,0.046497342375006204,6.37013342188325e-05,0.00033094092942954217
