,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0,precision_geno_ttest_pval,recall_geno_ttest_pval,F1_geno_ttest_pval
0,classifier1,0.6923076923076923,0.1592920353982301,0.2589928057553957,0.1487603305785124,8.7,0.07699115044247787,,,,
0,classifier10,0.7592592592592593,0.3867924528301887,0.5125,0.3445378151260504,5.2,0.04905660377358491,,,,
0,classifier1000,0.6,0.05172413793103448,0.09523809523809525,0.05,10.6,0.09137931034482759,,,,
0,classifier11,0.75,0.5377358490566038,0.6263736263736264,0.456,3.0,0.02830188679245283,,,,
0,classifier13,0.7176470588235294,0.5754716981132075,0.6387434554973821,0.46923076923076923,2.1,0.019811320754716984,,,,
0,classifier14lap,0.7878787878787878,0.49056603773584906,0.6046511627906975,0.43333333333333335,4.0,0.03773584905660378,,,,
0,classifier15,0.7887323943661971,0.5283018867924528,0.6327683615819208,0.4628099173553719,3.5,0.0330188679245283,,,,
0,classifier16,0.7538461538461538,0.46226415094339623,0.5730994152046784,0.4016393442622951,4.1,0.03867924528301887,,,,
0,classifier17,0.7833333333333333,0.44339622641509435,0.5662650602409638,0.3949579831932773,4.6,0.043396226415094344,,,,
0,classifier18,0.7804878048780488,0.2882882882882883,0.4210526315789474,0.26666666666666666,7.0,0.06306306306306306,,,,
0,classifier19,0.6349206349206349,0.37037037037037035,0.46783625730994155,0.3053435114503817,4.5,0.04166666666666667,,,,
0,classifier2,0.8108108108108109,0.2830188679245283,0.4195804195804196,0.26548672566371684,6.9,0.06509433962264151,,,,
0,classifier20,0.6056338028169014,0.4056603773584906,0.48587570621468934,0.3208955223880597,3.5,0.0330188679245283,,,,
0,classifier2000,0.03225806451612903,0.018691588785046728,0.023668639053254434,0.011976047904191617,4.5,0.04205607476635514,,,,
0,classifier2001,0.8444444444444444,0.34234234234234234,0.4871794871794872,0.3220338983050847,6.6,0.05945945945945946,,,,
0,classifier2002,0.6444444444444445,0.27102803738317754,0.381578947368421,0.23577235772357724,6.2,0.057943925233644854,,,,
0,classifier21,0.6617647058823529,0.42452830188679247,0.517241379310345,0.3488372093023256,3.8,0.035849056603773584,,,,
0,classifier22,0.7246376811594203,0.4716981132075472,0.5714285714285714,0.4,3.7,0.03490566037735849,,,,
0,classifier23,0.76,0.34234234234234234,0.4720496894409938,0.3089430894308943,6.1,0.05495495495495496,,,,
0,classifier24,0.7272727272727273,0.5185185185185185,0.6054054054054054,0.43410852713178294,3.1,0.028703703703703703,,,,
0,classifier25,0.6712328767123288,0.4537037037037037,0.5414364640883979,0.3712121212121212,3.5,0.032407407407407406,,,,
0,classifier4,0.625,0.03968253968253968,0.07462686567164178,0.03875968992248062,11.8,0.09365079365079365,,,,
0,classifier7,0.8,0.36036036036036034,0.49689440993788814,0.3305785123966942,6.1,0.05495495495495496,,,,
0,classifier9,0.581081081081081,0.4056603773584906,0.4777777777777778,0.31386861313868614,3.2,0.03018867924528302,,,,
