 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,points
13,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,35,255,0,255,255,255,674.75714286,53.04285714,674.75714286,53.04285714,21.55634919,672,49,6,8,7.61723423,5.85033658,75.88421854,0.94651497,8.54400375,8925,255,NaN,NaN,100,8925,673,57,69.44395478,6.00000000,1.30201641,0.76803948,0.87500000,1
14,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,135,255,0,255,255,255,1256.08518519,62.69259259,1256.08518519,62.69259259,47.69848481,1251,54,11,18,18.92305627,9.08348715,67.80186912,0.74564904,19.31320792,34425,255,NaN,NaN,100,34425,1252,72,68.74949449,10.46141369,2.08323697,0.48002220,0.89700997,1
15,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,92,255,0,255,255,255,349.14130435,62.28260870,349.14130435,62.28260870,35.21320344,343,58,13,9,13.26766374,8.82883682,12.72779511,0.93236641,13.92838828,23460,255,NaN,NaN,100,23460,343,65,21.03751103,9.00000000,1.50276463,0.66544020,0.92462312,1
16,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,85,255,0,255,255,255,1077.46470588,64.59411765,1077.46470588,64.59411765,34.62741700,1072,59,11,11,10.65028569,10.16173316,169.85895214,0.89081720,12.20655562,21675,255,NaN,NaN,100,21675,1073,60,145.00797980,11.00000000,1.04807768,0.95412775,0.85858586,1
17,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,74,255,0,255,255,255,1173.86486486,65.71621622,1173.86486486,65.71621622,35.45584412,1168,60,12,11,12.89820530,7.30487103,35.45928387,0.73971755,13.60147051,18870,255,NaN,NaN,100,18870,1169,71,53.97262661,8.32050294,1.76569925,0.56634786,0.81318681,1
18,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,43,255,0,255,255,255,214.01162791,67.33720930,214.01162791,67.33720930,29.79898987,211,62,6,11,11.96680696,4.57509682,77.96239276,0.60852053,12.08304597,10965,255,NaN,NaN,100,10965,211,73,65.55604522,5.33349359,2.61564016,0.38231559,0.80373832,0
19,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,215,255,0,255,255,255,611.76511628,76.29069767,611.76511628,76.29069767,62.42640687,603,67,18,19,20.42431607,13.40297032,44.42657990,0.69328475,20.80865205,54825,255,NaN,NaN,100,54825,603,83,35.21759297,15.55634919,1.52386490,0.65622615,0.84645669,1
20,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,90,255,0,255,255,255,998.51111111,81.30000000,998.51111111,81.30000000,38.04163056,994,74,9,14,13.85007082,8.27371647,105.20576570,0.78150926,14.86606875,22950,255,NaN,NaN,100,22950,998,74,109.65382406,9.00000000,1.67398422,0.59737720,0.88235294,1
21,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,46,255,0,255,255,255,1184.73913043,80.36956522,1184.73913043,80.36956522,29.21320344,1181,76,7,10,9.56298103,6.12455665,89.81264381,0.67734406,10.77032961,11730,255,NaN,NaN,100,11730,1184,86,68.19859051,7.00000000,1.56141605,0.64044430,0.82142857,0
22,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,89,255,0,255,255,255,256.97191011,88.55617978,256.97191011,88.55617978,42.87005769,253,81,10,14,12.96337301,8.74142242,85.39788016,0.60854365,14.86606875,22695,255,NaN,NaN,100,22695,253,95,70.34617594,10.00000000,1.48298210,0.67431697,0.81278539,1
