,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,2,16,4,379.05555555555554,0.4108449416666667
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,1,0,7,573.0,0.24655204
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,0,0,521.0,0.50267447
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,15,5,285.53333333333336,0.3805767453333334
0,Mar23bS1C5R2_DMr_200x_y.png,1,1,12,366.0,0.456832075
0,Mar26bS2C1R1_LHr_200x_y.png,2,0,6,771.0,0.425189825
0,Mar27bS1C2R2_LHr_200x_y.png,8,1,21,701.8888888888889,0.4294314666666667
0,MAR38S1C3R1_DMR_20_o.png,50,5,10,631.7636363636364,0.5163381256363637
0,MAR55S3C2R2_VLPAGR_20_o.png,13,1,8,689.5714285714286,0.5823223257142857
