 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,points
13,BKO-426-S42-Iba-Syn-Cortex-10x-F4a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2.png,1070,255,0,255,255,255,46.55233645,18.10280374,46.55233645,18.10280374,125.49747468,30,0,34,39,40.47920360,33.65595643,81.59441537,0.85373614,42.54409477,272850,255,NaN,NaN,100,272850,34,0,113.55226367,34.00000000,1.20273520,0.83143821,0.94564737,1
14,BKO-426-S42-Iba-Syn-Cortex-10x-F4a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2.png,642,255,0,255,255,255,85.75233645,101.02959502,85.75233645,101.02959502,95.15432893,70,86,31,28,30.36450223,26.92024330,169.55487455,0.89102069,32.69556545,163710,255,NaN,NaN,100,163710,71,95,156.57130719,28.00000000,1.12794308,0.88656956,0.94900222,1
15,BKO-426-S42-Iba-Syn-Cortex-10x-F4a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2.png,947,255,0,255,255,255,14.51267159,115.79883844,14.51267159,115.79883844,114.91168825,0,99,32,36,37.19015038,32.42142977,73.45024381,0.90122127,38.83297568,241485,255,NaN,NaN,100,241485,0,130,34.50852299,32.00000000,1.14708545,0.87177464,0.97128205,1
16,BKO-426-S42-Iba-Syn-Cortex-10x-F4a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2.png,1065,255,0,255,255,255,132.83990610,133.63990610,132.83990610,133.63990610,122.91168825,113,115,37,35,41.27711086,32.85113922,38.51365391,0.88587634,44.65422712,271575,255,NaN,NaN,100,271575,113,144,34.04593736,35.00000000,1.25648948,0.79586818,0.96554850,1
17,BKO-460-S57-Iba-Syn-Cortex-10x-F1a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,797,255,0,255,255,255,71.56775408,26.28293601,71.56775408,26.28293601,106.91168825,58,8,27,37,36.98464160,27.43765718,90.32844308,0.87622938,38.07886553,203235,255,NaN,NaN,100,203235,68,45,76.32869287,27.00000000,1.34795188,0.74186624,0.95391981,1
18,BKO-460-S57-Iba-Syn-Cortex-10x-F1a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,184,255,0,255,255,255,12.27173913,38.05978261,12.27173913,38.05978261,51.35533906,5,30,15,18,17.25526417,13.57707850,116.41787233,0.87671106,19.31320792,46920,255,NaN,NaN,100,46920,8,30,111.25050551,13.99201453,1.27091142,0.78683690,0.90864198,1
19,BKO-460-S57-Iba-Syn-Cortex-10x-F1a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,130,255,0,255,255,255,108.04615385,92.14615385,108.04615385,92.14615385,44.04163056,99,88,18,9,17.56475527,9.42348119,5.45991556,0.84222172,18.43908891,33150,255,NaN,NaN,100,33150,99,93,12.52880771,9.00000000,1.86393488,0.53649943,0.95238095,0
20,BKO-460-S57-Iba-Syn-Cortex-10x-F1a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-1.png,147,255,0,255,255,255,46.90816327,129.23469388,46.90816327,129.23469388,44.52691193,39,122,14,15,15.23629842,12.28423124,119.19584853,0.93171276,16.15549442,37485,255,NaN,NaN,100,37485,44,122,111.80140949,12.72792206,1.24031355,0.80624774,0.92744479,1
21,BKO-460-S57-Iba-Syn-Cortex-10x-F2a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2.png,212,255,0,255,255,255,117.50000000,36.00000000,117.50000000,36.00000000,51.94112550,109,28,17,16,16.84874010,16.02059156,0.00000000,0.98746796,18.02775638,54060,255,NaN,NaN,100,54060,109,33,160.55996517,16.00000000,1.05169276,0.95084804,0.95495495,1
22,BKO-460-S57-Iba-Syn-Cortex-10x-F2a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2.png,86,255,0,255,255,255,30.60465116,75.09302326,30.60465116,75.09302326,33.21320344,25,70,11,10,12.29575542,8.90539841,142.37221597,0.97968573,13.03840481,21930,255,NaN,NaN,100,21930,25,72,147.52880771,9.19238816,1.38070807,0.72426607,0.93989071,0
23,BKO-460-S57-Iba-Syn-Cortex-10x-F2a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2.png,94,255,0,255,255,255,79.94680851,81.09574468,79.94680851,81.09574468,37.79898987,76,74,8,15,15.41741436,7.76294354,75.19204920,0.82675595,16.15549442,23970,255,NaN,NaN,100,23970,77,89,68.19859051,8.00000000,1.98602686,0.50351786,0.93532338,1
24,BKO-460-S57-Iba-Syn-Cortex-10x-F2a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-2.png,168,255,0,255,255,255,63.39285714,103.64285714,63.39285714,103.64285714,48.87005769,58,94,11,19,18.98626766,11.26626082,85.06922663,0.88396169,19.41648784,42840,255,NaN,NaN,100,42840,61,113,78.11134196,11.00000000,1.68523239,0.59338997,0.94647887,1
25,BKO-460-S57-Iba-Syn-Cortex-10x-F3a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,146,255,0,255,255,255,67.39041096,34.85616438,67.39041096,34.85616438,60.62741700,63,23,9,26,27.38075785,6.78918292,80.14167713,0.49914254,26.68332813,37230,255,NaN,NaN,100,37230,64,49,77.00538321,8.12046671,4.03299751,0.24795453,0.82954545,0
26,BKO-460-S57-Iba-Syn-Cortex-10x-F3a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,30,255,0,255,255,255,88.33333333,28.76666667,88.33333333,28.76666667,19.31370850,86,25,5,7,7.20024271,5.30498594,92.91528123,1.00000000,7.61577311,7650,255,NaN,NaN,100,7650,87,25,113.19859051,5.00000000,1.35725953,0.73677877,0.93750000,0
27,BKO-460-S57-Iba-Syn-Cortex-10x-F3a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,311,255,0,255,255,255,119.68006431,76.45819936,119.68006431,76.45819936,67.59797975,110,65,20,22,22.77938291,17.38315300,54.76357307,0.85526917,24.41311123,79305,255,NaN,NaN,100,79305,110,85,34.99202020,18.27623097,1.31042872,0.76310904,0.91470588,1
28,BKO-460-S57-Iba-Syn-Cortex-10x-F3a_XY1562191200_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3-3.png,381,255,0,255,255,255,18.64698163,93.66797900,18.64698163,93.66797900,77.74011537,7,82,26,24,28.39174314,17.08610367,42.16127805,0.79221758,30.52867504,97155,255,NaN,NaN,100,97155,7,105,31.60750225,17.67766953,1.66168623,0.60179833,0.90822408,1
