,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,2,3,3,1759.6,0.17636645199999998
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,0,2,2,1390.5,0.32961359
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,0,0,611.0,0.40361949
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar23bS1C5R2_DMr_200x_y.png,1,1,1,960364.5,0.556493675
0,Mar26bS2C1R1_LHr_200x_y.png,1,1,1,960457.5,0.427199875
0,Mar27bS1C2R2_LHr_200x_y.png,10,3,3,148359.92307692306,0.3171072230769231
0,MAR38S1C3R1_DMR_20_o.png,16,5,45,92265.04761904762,0.35891818142857135
0,MAR55S3C2R2_VLPAGR_20_o.png,0,0,40,0.0,0.0
