,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,1,0,4,794.0,0.15312923
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,1,0,1,531.0,0.31783441
0,Mar20bS1C1R3_VLPAGl_200x_y.png,0,0,1,0.0,0.0
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar23bS1C5R2_DMr_200x_y.png,0,0,2,0.0,0.0
0,Mar26bS2C1R1_LHr_200x_y.png,2,0,0,723.5,0.23526215499999997
0,Mar27bS1C2R2_LHr_200x_y.png,5,0,8,885.8,0.18835466399999998
0,MAR38S1C3R1_DMR_20_o.png,5,0,56,627.8,0.20346062600000003
0,MAR55S3C2R2_VLPAGR_20_o.png,4,0,16,728.75,0.278044135
