,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,3,53,3,902.6071428571429,0.53332016375
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,2,0,457.5,0.41334221
0,Mar19bS2C1R1_LHl_200x_y.png,6,0,2,1596.0,0.5648113666666666
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,1,0,843.5,0.689907755
0,Mar23bS1C1R4_VLPAGl_200x_y.png,4,5,1,454.3333333333333,0.5984394455555555
0,Mar23bS1C5R2_DMr_200x_y.png,11,3,2,650.5714285714286,0.6131902057142858
0,Mar26bS2C1R1_LHr_200x_y.png,7,2,1,1304.6666666666667,0.5799818888888888
0,Mar27bS1C2R2_LHr_200x_y.png,19,8,10,1478.851851851852,0.5293153562962963
0,MAR38S1C3R1_DMR_20_o.png,15,119,45,832.3656716417911,0.46714974044776114
0,MAR55S3C2R2_VLPAGR_20_o.png,7,130,14,691.007299270073,0.4942100702919708
