 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,24,255,0,255,255,255,189.33333333,677.20833333,189.33333333,677.20833333,24.97056275,186,674,6,6,6.06649327,5.03713558,56.65729990,0.48368703,7.21110255,6120,255,NaN,NaN,100,6120,186,679,33.69006753,6.00000000,1.20435378,0.83032081,0.75000000,0
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,21,255,0,255,255,255,469.45238095,704.88095238,469.45238095,704.88095238,16.48528137,467,702,5,5,5.56792036,4.80215749,167.26832747,0.97103846,6.40312424,5355,255,NaN,NaN,100,5355,468,702,128.65980825,5.00000000,1.15946226,0.86246878,0.91304348,1
3,BKO-428-S42-Iba-Syn-Cortex-10x-F3a_XY1561767178_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,24,255,0,255,255,255,146.00000000,360.91666667,146.00000000,360.91666667,24.38477631,143,358,7,7,7.70216314,3.96742428,41.23327776,0.50720503,8.60232527,6120,255,NaN,NaN,100,6120,143,364,35.53767779,5.46608167,1.94135101,0.51510520,0.67605634,0
4,BKO-428-S72-Iba-Syn-Cortex-10x-F2a_XY1562015876_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,24,255,0,255,255,255,965.20833333,9.41666667,965.20833333,9.41666667,19.55634919,962,6,7,6,7.21786073,4.23362964,146.28324449,0.78857960,7.81024968,6120,255,NaN,NaN,100,6120,963,6,129.80557109,4.91934955,1.70488714,0.58654909,0.81355932,1
5,BKO-428-S72-Iba-Syn-Cortex-10x-F2a_XY1562015876_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,27,255,0,255,255,255,1269.79629630,21.12962963,1269.79629630,21.12962963,35.79898987,1266,18,9,6,6.60985073,5.20094464,165.72664944,0.26474763,9.48683298,6885,255,NaN,NaN,100,6885,1266,19,161.56505118,6.00000000,1.27089427,0.78684752,0.56250000,0
6,BKO-428-S72-Iba-Syn-Cortex-10x-F2a_XY1562015876_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,27,255,0,255,255,255,1160.12962963,34.87037037,1160.12962963,34.87037037,32.28427125,1157,31,7,8,8.09743784,4.24547473,51.43280047,0.32553048,10.00000000,6885,255,NaN,NaN,100,6885,1158,39,53.13010235,6.00832755,1.90731034,0.52429853,0.64285714,0
7,BKO-428-S72-Iba-Syn-Cortex-10x-F2a_XY1562015876_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,31,255,0,255,255,255,8.37096774,75.79032258,8.37096774,75.79032258,28.97056275,3,72,10,6,9.68617321,4.07492464,10.39648712,0.46414929,10.81665383,7905,255,NaN,NaN,100,7905,4,78,33.69006753,5.64019190,2.37701898,0.42069500,0.64583333,1
8,BKO-442-S44-Iba-Syn-Cortex-10x-F1a_XY1562190389_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,36,255,0,255,255,255,1252.13888889,167.05555556,1252.13888889,167.05555556,31.45584412,1248,163,8,8,8.07295306,5.67780133,48.83018881,0.45720364,10.00000000,9180,255,NaN,NaN,100,9180,1248,169,36.86989765,7.07106781,1.42184494,0.70331157,0.72000000,0
9,BKO-442-S44-Iba-Syn-Cortex-10x-F1a_XY1562190389_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,21,255,0,255,255,255,850.45238095,240.11904762,850.45238095,240.11904762,30.62741700,847,236,6,9,7.66854843,3.48671338,100.65248350,0.28132506,9.21954446,5355,255,NaN,NaN,100,5355,850,236,102.52880771,5.42516658,2.19936301,0.45467710,0.52500000,0
10,BKO-442-S44-Iba-Syn-Cortex-10x-F1a_XY1562190389_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,25,255,0,255,255,255,694.34000000,617.90000000,694.34000000,617.90000000,18.14213562,691,615,6,6,6.57048270,4.84454340,42.07553918,0.95449367,7.21110255,6375,255,NaN,NaN,100,6375,691,619,33.69006753,5.54700196,1.35626460,0.73731925,0.86206897,1
