,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,3,3,2,1723.5,0.20343588
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,2,0,0,1189.5,0.38121129
0,Mar20bS1C1R3_VLPAGl_200x_y.png,1,0,0,468.0,0.52218116
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar23bS1C5R2_DMr_200x_y.png,0,2,2,314.0,0.322671785
0,Mar26bS2C1R1_LHr_200x_y.png,2,0,0,803.0,0.332682645
0,Mar27bS1C2R2_LHr_200x_y.png,10,0,3,802.9,0.31541302299999996
0,MAR38S1C3R1_DMR_20_o.png,38,1,23,587.3076923076923,0.3452297528205129
0,MAR55S3C2R2_VLPAGR_20_o.png,13,1,7,733.7857142857143,0.36151779714285714
