 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0001-0005,84,0.74938722,0.12839900,0.80665925,0.46115887,0.97991604,315.50000000,4.02380952,315.54564416,3.91337230,46.04163056,310,0,14,10,11.56466491,9.24818165,27.31769312,0.49795232,14.56021978,62.94852644,0.76443559,-0.09727630,-0.59243297,100,62.94852644,310,5,15.94539590,10.00000000,1.25047986,0.79969301,0.77064220,-3.403E38,3.4e38,0
2,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0002-0003,34,0.69293238,0.10638831,0.52313009,0.52231479,0.93975133,770.38235294,2.20588235,770.40637299,2.09028136,23.55634919,766,0,9,6,7.76579630,5.57446305,3.19989602,0.76996824,9.21954446,23.55970109,0.70748794,0.25299368,-0.54397400,100,23.55970109,766,0,167.47119229,6.00000000,1.39310212,0.71782247,0.85000000,-3.403E38,3.4e38,0
3,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0003-0001,21,0.77686036,0.12351017,0.71336842,0.54304296,0.96844119,1048.78571429,0.92857143,1048.70622407,0.89684585,25.07106781,1043,0,12,2,12.10576372,2.20870249,0.73966632,0.41983969,12.04159458,16.31406760,0.74390417,0.08468992,-1.00358849,100,16.31406760,1043,0,175.23635831,2.00000000,5.48093906,0.18245049,0.93333333,-3.403E38,3.4e38,0
4,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0004-0009,117,0.77549089,0.13703212,0.86942431,0.51942307,0.98976594,399.09829060,9.45726496,399.28280266,9.60974335,43.69848481,393,2,12,14,16.00664821,9.30669711,126.47366686,0.76995079,17.80449381,90.73243409,0.79955870,-0.18968119,-1.16435718,100,90.73243409,393,2,128.15722659,10.60660172,1.71990643,0.58142698,0.88973384,-3.403E38,3.4e38,1
5,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0005-0010,71,0.71590917,0.12280927,0.85062182,0.49497822,0.94237262,274.69718310,9.89436620,274.53414997,10.08283859,32.62741700,270,4,9,12,12.19067988,7.41550172,60.38424285,0.83811348,13.03840481,50.82955083,0.70377237,-0.01999962,-1.06309523,100,50.82955083,271,15,57.52880771,8.48528137,1.64394539,0.60829271,0.87654321,-3.403E38,3.4e38,1
6,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0006-0017,80,0.72679751,0.10434826,0.63207733,0.51193482,0.91930544,459.06250000,17.61250000,459.12210467,17.63688558,39.45584412,453,11,11,13,11.81294093,8.62267611,104.89052406,0.64576897,14.31782106,58.14380050,0.74597096,-0.16042078,-1.04057378,100,58.14380050,457,11,114.77514057,10.42903188,1.36998546,0.72993475,0.79207921,-3.403E38,3.4e38,1
7,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0007-0022,142,0.80690185,0.14416897,0.97155909,0.50169545,0.99365902,161.04929577,22.53521127,161.16596028,22.37986080,46.76955262,154,15,15,14,13.98961620,12.92387245,55.88801548,0.81577760,15.65247584,114.58006209,0.82989836,-0.50689314,-0.93965309,100,114.58006209,154,27,26.56505118,14.00000000,1.08246319,0.92381894,0.87116564,-3.403E38,3.4e38,1
8,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0008-0022,127,0.80100317,0.13191681,0.97853534,0.50351584,0.99684238,55.85433071,22.77559055,55.81665188,22.67254637,45.45584412,49,16,14,13,15.93816741,10.14554672,133.28715428,0.77238553,17.02938637,101.72740293,0.80076396,-0.22952547,-0.92994501,100,101.72740293,51,16,130.23635831,11.64870412,1.57095205,0.63655667,0.88811189,-3.403E38,3.4e38,1
9,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0009-0023,52,0.75832971,0.14203854,0.53392995,0.50174212,0.94715208,240.61538462,23.78846154,240.57721732,23.75744988,28.04163056,236,19,9,9,9.28111297,7.13367638,140.87003778,0.83101082,10.29563014,39.43314505,0.78016198,-0.27950261,-1.32136418,100,39.43314505,236,22,150.94539590,7.80000000,1.30102804,0.76862294,0.82539683,-3.403E38,3.4e38,1
10,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tif:0010-0025,32,0.64849693,0.11324877,0.61007651,0.50296217,0.88647646,263.46875000,25.62500000,263.54131466,25.60532027,21.55634919,260,22,7,7,7.42483532,5.48748406,47.40938676,0.86538512,8.48528137,20.75190163,0.61106461,0.57548190,-0.82239257,100,20.75190163,260,28,45.00000000,6.36396103,1.35304909,0.73907148,0.82051282,-3.403E38,3.4e38,0
