,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,1,6,4,638.4285714285714,0.30074179142857144
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,0,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,0,1,2,602.0,0.19322725
0,Mar20bS1C1R3_VLPAGl_200x_y.png,0,1,1,613.0,0.49883684
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,1,0,515.0,0.29152379
0,Mar23bS1C5R2_DMr_200x_y.png,0,1,2,527.0,0.46157173
0,Mar26bS2C1R1_LHr_200x_y.png,1,1,1,801.5,0.287787055
0,Mar27bS1C2R2_LHr_200x_y.png,5,2,8,818.7142857142857,0.3428549142857143
0,MAR38S1C3R1_DMR_20_o.png,34,4,27,823.2631578947369,0.38550094
0,MAR55S3C2R2_VLPAGR_20_o.png,13,2,7,887.8,0.4606962266666668
