,name,tp,fp,fn,avg_area,avg_circularity
0,37_y.png,0,11,23,378.27272727272725,0.3801561363636364
0,Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,46,0.0,0.0
0,Mar19bS2C1R1_LHl_200x_y.png,0,0,46,0.0,0.0
0,Mar20bS1C1R3_VLPAGl_200x_y.png,0,0,46,0.0,0.0
0,Mar23bS1C1R4_VLPAGl_200x_y.png,0,1,23,369.0,0.35817151
0,Mar23bS1C5R2_DMr_200x_y.png,1,3,22,464.5,0.64976609
0,Mar26bS2C1R1_LHr_200x_y.png,0,3,23,501.3333333333333,0.58455979
0,Mar27bS1C2R2_LHr_200x_y.png,0,7,23,465.2857142857143,0.4598033785714285
0,MAR38S1C3R1_DMR_20_o.png,0,43,23,401.95348837209303,0.32681733558139536
0,MAR55S3C2R2_VLPAGR_20_o.png,0,50,23,402.36,0.38383859900000006
