"","name","tp","fp","fn","prec2","reca2","F1_2","geno","hand_count","auto_count"
"29","BKO-443-S72-Iba-Syn-Cortex-10x-F2a_XY1562017680_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",88,13,27,0.871287128712871,0.765217391304348,0.814814814814815,"gp",115,101
"30","BKO-460-S42-Iba-Syn-Cortex-10x-F1a_XY1562190983_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",93,4,19,0.958762886597938,0.830357142857143,0.889952153110048,"wt",112,97
"31","BKO-460-S42-Iba-Syn-Cortex-10x-F2a_XY1562191061_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",82,5,30,0.942528735632184,0.732142857142857,0.824120603015075,"wt",112,87
"32","BKO-460-S42-Iba-Syn-Cortex-10x-F3a_XY1562191138_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",94,7,24,0.930693069306931,0.796610169491525,0.858447488584475,"wt",118,101
"33","BKO-460-S57-Iba-Syn-Cortex-10x-F2a_XY1562191269_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",59,3,21,0.951612903225806,0.7375,0.830985915492958,"wt",80,62
"34","BKO-460-S57-Iba-Syn-Cortex-10x-F3a_XY1562191310_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",58,7,31,0.892307692307692,0.651685393258427,0.753246753246753,"wt",89,65
"35","BKO-460-S72-Iba-Syn-Cortex-10x-F1a_XY1562191401_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",69,5,30,0.932432432432432,0.696969696969697,0.797687861271676,"wt",99,74
"36","BKO-460-S72-Iba-Syn-Cortex-10x-F2a_XY1562191355_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",73,2,20,0.973333333333333,0.78494623655914,0.869047619047619,"wt",93,75
"37","BKO-460-S72-Iba-Syn-Cortex-10x-F3a_XY1562191470_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",90,6,23,0.9375,0.79646017699115,0.861244019138756,"wt",113,96
"38","BKO-462-S42-Iba-Syn-Cortex-10x-F2a_XY1562191589_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",121,7,13,0.9453125,0.902985074626866,0.923664122137405,"wt",134,128
"39","BKO-462-S42-Iba-Syn-Cortex-10x-F3a_XY1562191625_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",104,7,22,0.936936936936937,0.825396825396825,0.877637130801688,"wt",126,111
"40","BKO-462-S57-Iba-Syn-Cortex-10x-F2a_XY1562191714_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",105,7,26,0.9375,0.801526717557252,0.864197530864198,"wt",131,112
"41","BKO-462-S57-Iba-Syn-Cortex-10x-F3a_XY1562191756_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",113,0,31,1,0.784722222222222,0.879377431906615,"wt",144,113
"42","BKO-462-S72-Iba-Syn-Cortex-10x-F1a_XY1562191815_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",85,0,42,1,0.669291338582677,0.80188679245283,"wt",127,85
"43","BKO-462-S72-Iba-Syn-Cortex-10x-F2a_XY1562191857_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png",82,4,39,0.953488372093023,0.677685950413223,0.792270531400966,"wt",121,86
