 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,MinThr,MaxThr,points
1,37_y.tif:0001-0006,137,0.61883803,0.06679432,0.54256314,0.50225765,0.73945779,395.14963504,5.22992701,395.19621088,5.09187438,45.21320344,388,0,14,12,14.83681941,11.75682017,10.57062686,0.84217021,16.27882060,84.78080952,0.62945610,-0.20483183,-1.27444169,100,84.78080952,391,12,47.48955292,12.00000000,1.26197553,0.79240839,0.91638796,-3.403E38,3.4e38,0
2,37_y.tif:0002-0020,34,0.54969646,0.03242901,0.50617312,0.50198150,0.61493468,44.91176471,20.58823529,44.91600195,20.56682710,20.97056275,42,17,7,7,6.76460551,6.39950762,63.75061527,0.97155773,7.61577311,18.68967962,0.54731715,0.28279952,-0.87094998,100,18.68967962,42,18,156.80140949,7.00000000,1.05705094,0.94602821,0.88311688,-3.403E38,3.4e38,0
3,37_y.tif:0003-0027,86,0.53982332,0.02625330,0.50404137,0.50307786,0.60174119,386.24418605,28.20930233,386.26904615,28.22398490,42.52691193,380,20,12,14,12.65817243,8.65042734,117.09411008,0.59755876,14.86606875,46.42480558,0.53432631,0.45157727,-0.78924351,100,46.42480558,386,20,109.65382406,10.73312629,1.46330024,0.68338675,0.78899083,-3.403E38,3.4e38,0
4,37_y.tif:0004-0025,20,0.53726953,0.02323591,0.50078941,0.50064391,0.57513839,98.25000000,25.25000000,98.23813623,25.23854212,15.31370850,96,23,5,5,5.14157101,4.95272570,45.00255565,1.00000000,5.83095189,10.74539053,0.53471971,-0.13755260,-1.10381920,100,10.74539053,96,23,120.96375653,5.00000000,1.03812957,0.96327089,0.90909091,-3.403E38,3.4e38,0
5,37_y.tif:0005-0079,33,0.54172086,0.02445076,0.50316141,0.50296932,0.60131919,438.28787879,79.46969697,438.30625131,79.46745068,21.89949494,435,76,6,7,7.83004321,5.36611406,61.57144239,0.86468038,9.21954446,17.87678844,0.53940988,0.42264063,-0.42492444,100,17.87678844,435,83,49.39870535,6.00000000,1.45916451,0.68532368,0.89189189,-3.403E38,3.4e38,0
6,37_y.tif:0006-0099,29,0.54157755,0.02525716,0.50478854,0.50462794,0.58685422,438.67241379,99.56896552,438.68490282,99.58079784,22.97056275,435,95,7,8,8.13821837,4.53710445,121.44447789,0.69066046,9.43398113,15.70574892,0.53921324,0.07555091,-1.12929015,100,15.70574892,436,95,122.00538321,6.00832755,1.79370311,0.55750586,0.74358974,-3.403E38,3.4e38,0
7,37_y.tif:0007-0102,48,0.57136399,0.04326148,0.50955467,0.50090766,0.65357208,652.10416667,102.10416667,652.11163441,102.10172056,24.38477631,648,98,8,8,8.10116577,7.54403748,134.99683672,1.00000000,8.94427191,27.42547131,0.57185978,0.02630414,-1.08694876,100,27.42547131,650,98,116.56505118,8.00000000,1.07385015,0.93122863,0.88888889,-3.403E38,3.4e38,0
8,37_y.tif:0008-0122,57,0.53290597,0.01867808,0.53780528,0.49417779,0.57481778,439.04385965,121.97368421,439.04062453,121.96702701,54.52691193,436,112,6,21,18.90440963,3.83903309,97.90423004,0.24091449,21.37755833,30.37564006,0.53685486,0.14209211,-0.53547485,100,30.37564006,438,112,100.78429787,5.30071325,4.92426327,0.20307606,0.62983425,-3.403E38,3.4e38,0
9,37_y.tif:0009-0175,136,0.55127269,0.03198784,0.55981820,0.48625425,0.61568636,987.56617647,175.69852941,987.57435295,175.64736379,61.59797975,982,164,10,23,22.22567337,7.79101606,82.92557537,0.45041810,24.04163056,74.97308639,0.54918242,0.17401888,-0.93100484,100,74.97308639,983,187,73.07248694,9.32518184,2.85273104,0.35054128,0.76404494,-3.403E38,3.4e38,0
10,37_y.tif:0010-0179,24,0.52189285,0.01449044,0.53233524,0.50049037,0.55065829,447.29166667,179.12500000,447.27567110,179.11527468,24.14213562,445,175,5,8,8.05517738,3.79355384,102.54842870,0.51745160,8.94427191,12.52542830,0.52199727,0.19426478,-0.97481847,100,12.52542830,446,175,116.56505118,4.51067111,2.12338555,0.47094603,0.75000000,-3.403E38,3.4e38,0
